Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Total,AL,1279625,185856,408204,326419,177775,181370,625090,654534,8555,896667,284139,7271,82992,131401,628573,340270,179380,519327,38573,302529,417875,1320,128752,334362,246472,262133,183782,40048,84074,659986,619639,249487,1030138,-,609643,669981,-,236046,89553,123629,125632,86219,35153,26240,32505,524648,609067,206949,162386,183467,57614,434791,88490,95198,39840,293631,3458,6903,31518,17869,1245029,-,503057,255983,54525,-,466060,707874,61378,23204,19272,467897,468644,262261,82660,-,466060,604019,134789,74756,-,466060,289184,954613,35827,-
Concerned about possible side effects,AL,702099,129354,235682,152610,99737,84715,318415,383684,2872,574684,98004,1014,25526,57575,355047,188400,101078,310353,28105,136225,227415,-,48299,183196,141494,146542,89266,19349,73953,376976,325123,104241,597858,-,350397,351702,-,66788,66115,61462,89723,62152,25498,15342,25217,289802,377478,137191,121531,122979,44830,264443,48353,64870,9958,164127,3458,6903,20786,2301,678235,-,295500,137996,6792,-,261810,396259,33208,445,8540,263648,286975,136627,16686,-,261810,355473,57530,27286,-,261810,192285,497591,12223,-
Don’t know if a vaccine will work,AL,298884,112806,128841,45277,3589,8371,157923,140961,-,231962,61001,-,5921,13503,177192,61447,46741,88396,1319,44213,164956,-,6771,45458,44110,75280,54319,4602,68343,226214,72669,33272,265612,-,165459,133425,-,30347,2232,25739,32621,16107,17552,6165,-,168121,134501,52828,76656,48519,41282,91652,45255,26728,6675,109278,3458,4602,-,-,290824,-,98887,36170,1536,-,162290,134613,1536,445,-,162290,70556,47946,18092,-,162290,112921,21440,2232,-,162290,100776,188345,9762,-
Don’t believe I need a vaccine,AL,300090,126610,72158,82674,6625,12022,213014,87076,-,255087,15988,-,29015,10732,153982,85287,50089,88095,13341,38154,160500,-,12713,87516,38426,24638,46136,17995,72666,167531,132559,29752,270339,-,176998,123092,-,30004,-,47028,6099,18413,11387,20528,7807,158823,139816,60311,19242,15988,20255,82135,24228,5257,15174,103331,3458,4602,10732,-,281299,-,76811,43565,29775,-,149939,128750,18117,-,3283,149939,102247,47904,-,-,149939,116911,1813,31427,-,149939,114560,165036,20494,-
Don’t like vaccines,AL,176085,102102,17397,51358,3675,1554,81428,94657,-,155543,20543,-,-,24148,106042,29412,16483,37735,-,33150,105200,-,919,2949,39195,46877,17803,-,68343,139411,36674,9421,166664,-,77924,98161,-,15901,-,30050,11300,1537,6618,2882,-,107797,73612,14214,15064,5257,20255,25790,20255,5257,-,92679,-,-,-,-,176085,-,28232,42987,-,-,104866,55876,15343,-,-,104866,53319,17900,-,-,104866,56156,15064,-,-,104866,99788,76297,-,-
Doctor has not recommended it,AL,84983,4282,39368,10337,2756,28240,49609,35374,1813,71338,10513,-,1319,-,34558,30638,19786,57522,13341,5257,8863,-,3606,60064,2756,12420,-,1813,4323,25132,59851,12179,72804,-,41034,43949,-,11832,-,12022,-,-,-,2882,13835,44410,51819,23170,14369,10513,-,20035,-,8013,-,23221,-,-,-,-,84983,-,39639,-,5257,-,40087,27616,12022,-,5257,40087,39639,5257,-,-,40087,44895,-,-,-,40087,46542,34745,3695,-
Plan to wait and see if it is safe,AL,459524,50694,217394,107829,59456,24151,176220,283304,7496,368199,62851,1014,19964,19647,232746,116166,90964,222808,21732,73834,139830,1320,8602,132183,128538,120044,51437,18719,-,254563,204961,104230,355294,-,252460,207064,-,40758,59056,34642,66102,58286,19470,10630,8003,162577,220546,111148,74041,81201,20255,222394,27327,25726,6486,90355,3458,2301,13503,17869,440262,-,237886,73991,1536,-,146112,288344,19502,445,3283,147950,192130,107910,13371,-,146112,263197,37301,12914,-,146112,97794,351062,10669,-
Other people need it more right now,AL,144718,20255,83781,32054,7307,1320,29478,115240,3548,95616,33896,-,11657,-,89365,21740,33613,75393,1319,21959,46046,-,1836,21567,32139,52375,29546,7255,-,100356,44361,26331,118386,-,101723,42994,-,14543,2232,35625,17394,21663,10372,-,1913,40974,107711,49737,21471,43150,41282,80742,44896,30092,3283,9762,-,4602,13503,-,126612,-,75652,33675,-,-,35391,102051,3548,445,3283,35391,89259,16524,3543,-,35391,96192,7620,5516,-,35391,22439,122279,-,-
Concerned about the cost,AL,18983,-,5257,1459,-,12268,13281,5701,-,1981,15988,1014,-,10732,5257,1536,1459,2550,-,16433,-,-,10732,1536,-,5701,1014,-,-,8251,10732,445,18538,-,1014,17969,-,17524,-,-,445,-,1014,-,-,-,5257,-,445,5257,-,2994,-,5701,12268,-,-,-,-,-,18983,-,6715,10732,1536,-,-,17002,1536,445,-,-,17002,1536,445,-,-,17002,1981,-,-,-,445,18538,-,-
Don’t trust COVID-19 vaccines,AL,482623,113698,164241,101808,39455,63422,292261,190363,1813,340607,107553,-,32651,32108,258031,137976,54508,168826,17971,106172,189654,-,46335,97094,96036,79356,78507,12630,72666,265472,217152,82403,400220,-,189690,292934,-,105603,19697,49184,52568,16107,12941,10877,13194,202452,190715,57215,86434,32179,33039,131469,59757,28087,17407,180839,3458,6903,-,2301,472263,-,176073,93232,16422,-,196896,235822,34448,4725,10732,196896,171546,78890,35291,-,196896,218589,39015,28124,-,196896,164779,296444,21400,-
