Diagnosis,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking
Total,AL,3737637,347339,914111,858947,697016,920224,1764246,1973391,135113,2535082,818938,88573,159931,268056,1383347,1175839,910395,2050366,148983,647949,815947,74391,320723,1334008,793718,760967,322822,100298,105100,1578717,2158920,614285,3078133,45219,1854525,1831521,51591,581080,270263,261306,481689,286602,294780,112400,137859,1311658,2231270,718236,515741,371615,93287,1146567,177087,157608,134966,619949,23744,12642,39215,29869,3581524,76076,1658276,787856,150934,1320,1139251,2166772,320093,74931,21883,1153959,1556257,836695,205433,-,1139251,1868741,532666,187423,9555,1139251
Yes,AL,679880,157233,149096,188672,74807,110072,301447,378433,29133,514384,115368,8312,12683,33799,250713,230443,164925,374201,32674,69510,203495,-,41276,189031,146487,115246,81682,12832,93326,358501,321379,117248,558277,4356,373025,302499,4356,115948,46048,31155,88472,51199,31924,24982,39084,251068,388975,141633,89370,31689,4076,165705,14752,18802,8434,164995,7548,2301,-,3332,669000,-,289785,122979,44806,-,222310,361071,89398,1981,3283,224148,226330,184339,46902,-,222310,299464,125985,32121,-,222310
No,AL,2966740,190106,743231,653497,609677,770229,1398043,1568698,102020,1979207,668737,80261,136516,207654,1105026,924352,729709,1669384,111171,564716,587941,33528,254198,1092705,637696,645721,241140,83506,11774,1211116,1755624,480260,2486480,-,1464940,1500568,1233,454400,220254,230151,392311,233566,259467,87418,98776,990398,1838906,570182,425465,329194,89211,980862,162335,138806,113963,397049,16196,10341,28483,26536,2878242,30074,1362617,660657,95397,1320,846749,1798997,230695,69561,7868,859620,1329927,642263,147800,-,846749,1568371,398970,143095,9555,846749
Not sure,AL,44280,-,11903,16777,1837,13762,33608,10672,-,22816,10732,-,10732,26603,-,11600,6077,4867,5139,9762,24511,-,24511,14630,5139,-,-,-,-,5139,39140,16777,27502,-,14647,24493,5139,10732,-,-,906,1837,1476,-,-,29328,1476,2461,906,10732,-,-,-,-,12569,17042,-,-,10732,-,28409,5139,-,4219,10732,-,29328,2744,-,1476,10732,29328,-,4219,10732,-,29328,906,1837,12207,-,29328
Did not report,AL,46737,-,9880,-,10695,26162,31148,15589,3961,18675,24101,-,-,-,27608,9445,9685,1913,-,3961,-,40863,738,37643,4396,-,-,3961,-,3961,42776,-,5874,40863,1913,3961,40863,-,3961,-,-,-,1913,-,-,40863,1913,3961,-,-,-,-,-,-,-,40863,-,-,-,-,5874,40863,5874,-,-,-,40863,3961,-,1913,-,40863,-,5874,-,-,40863,-,5874,-,-,40863
Total,AK,525308,46677,170701,122453,92424,93053,268744,256564,38330,342396,22542,27459,94582,20746,173437,186247,144879,279364,27842,76478,133645,7978,53386,193849,83632,88054,50712,14127,41548,210863,314445,87868,434157,3283,303274,218103,3932,59182,38304,37378,54493,56228,54160,32913,33915,158734,351457,105363,100092,44219,30209,143889,9106,33501,32247,63183,6494,3886,16067,1574,493488,4310,280415,102156,19871,1292,121573,332323,60923,7963,1292,122807,245514,128680,27809,2168,121137,307850,73354,22404,1502,120197
Yes,AK,74868,13056,28251,17377,10010,6173,41731,33137,10769,39604,7363,2278,14853,3488,31978,27291,12111,33773,4528,9871,24112,2584,4705,18806,9493,15905,11980,597,13380,39720,35148,13946,60921,-,53133,21735,-,8458,2369,4657,5865,7361,5056,3854,9561,27687,50352,22656,8879,3703,7525,18836,249,5510,12257,8966,1524,-,1850,-,71364,130,39725,13817,4712,-,16613,45755,9102,3268,-,16742,38372,15629,3613,-,17253,47062,7347,3716,-,16742
No,AK,444612,31494,141635,103013,81938,86532,222955,221657,27561,299353,14632,24007,79059,17257,139384,156484,131486,244843,23314,66259,106738,3458,47406,174544,72868,69365,38732,13529,28168,169832,274780,72011,371255,1346,247437,195474,1701,50724,35587,32721,48629,48867,49104,29059,24354,125567,299757,81342,90865,40167,22337,123125,8509,27643,19641,51986,4864,3886,14217,1574,418339,2244,239503,88339,14811,1292,100667,285872,51821,4695,1292,100932,206248,112703,24196,2168,99297,259894,66007,18341,1502,98868
Not sure,AK,3598,2126,-,776,348,348,3598,-,-,2035,546,348,670,-,1580,1564,454,454,-,348,2796,-,652,-,696,2250,-,-,-,1018,2580,1911,1687,-,2704,894,-,-,348,-,-,-,-,-,-,3250,1348,1365,348,348,348,1928,348,348,348,-,106,-,-,-,3492,-,894,-,348,-,2356,696,-,-,-,2902,894,348,-,-,2356,894,-,348,-,2356
Did not report,AK,2230,-,816,1286,128,-,461,1770,-,1404,-,827,-,-,494,908,828,294,-,-,-,1937,622,499,576,534,-,-,-,294,1937,-,294,1937,-,-,2230,-,-,-,-,-,-,-,-,2230,-,-,-,-,-,-,-,-,-,2230,-,-,-,-,294,1937,294,-,-,-,1937,-,-,-,-,2230,-,-,-,-,2230,-,-,-,-,2230
